type,section_number,section_title,text,page
paragraph,,,"MAYORES
Versión: 1
EDP-F-046 20/11/2017
INGENIERÍA DETALLE ACONDICIONAMIENTO
MR #: FFM/F-MEQ-013 REV: 0
ESTRATEGICO CUPIAGUA
Documento:
Requisición de materiales
Especialidad Mecánica FECHA: 01-11-2023
Paquete de Inyección de
Químicos
CAMBIOS
SECCIÓN DESCRIPCIÓN
REQUERIMIENTOS DE INSPECCIÓN:
Nivel de criticidad:
Criterio de disponibilidad operacional: Equipo no crítico.
Criterio de criticidad por seguridad de proceso: Equipo no crítico
Es requerida inspección: SI
Nivel de inspección: 3
Requerimientos especiales para la inspección: NO
REVISIONES:
EMITIDO PARA
0 01-11-2023
COMPRA
OAH MSC OVM
EMITIDO PARA
A1 COMENTARIOS DEL 13-09-2022
CLIENTE
MSC OVM OCA
REV. DESCRIPCIÓN ELABORÓ REVISÓ APROBÓ FECHA
EDP-F-046 – 20/11/2017 V-1 1/20",1
paragraph,,,"MAYORES
Versión: 1
EDP-F-046 20/11/2017
INGENIERÍA DETALLE ACONDICIONAMIENTO
MR #: FFM/F-MEQ-013 REV: 0
ESTRATEGICO CUPIAGUA
Documento:
Requisición de materiales
Especialidad Mecánica FECHA: 01-11-2023
Paquete de Inyección de
Químicos
TABLA DE CONTENIDO
Página
1. INTRODUCCIÓN .................................................................................................................................................................. 4",2
section_header,1.1,CONDICIONES GENERALES...................................................................................................................................... 4,,2
section_header,1.2,GLOSARIO ................................................................................................................................................................... 4,,2
section_header,1.3,ORDEN DE PREVALENCIA......................................................................................................................................... 5,,2
paragraph,1.3,ORDEN DE PREVALENCIA......................................................................................................................................... 5,2. ALCANCE DEL SUMINISTRO ............................................................................................................................................ 5,2
section_header,2.1,ALCANCE GENERAL .................................................................................................................................................. 5,,2
section_header,2.2,EXCLUSIONES ............................................................................................................................................................ 6,,2
section_header,2.3,OPCIONES DEL SUMINISTRO .................................................................................................................................... 6,,2
paragraph,2.3,OPCIONES DEL SUMINISTRO .................................................................................................................................... 6,"3. RESPONSABILIDAD ........................................................................................................................................................... 6
4. REQUERIMIENTOS GENERALES ...................................................................................................................................... 6",2
section_header,4.1,GENERAL .................................................................................................................................................................... 6,,2
section_header,4.2,PROPUESTAS ALTERNATIVAS ................................................................................................................................. 6,,2
section_header,4.3,DOCUMENTACIÓN REQUERIDA CON LA OFERTA ................................................................................................. 7,,2
section_header,4.4,DOCUMENTACIÓN REQUERIDA DESPUÉS DE LA ORDEN DE COMPRA ............................................................. 7,,2
section_header,4.5,REQUERIMIENTOS DE CONFIABILIDAD ................................................................................................................ 10,,2
section_header,4.6,MARCAS HOMOLOGADAS DE ECOPETROL ......................................................................................................... 11,,2
section_header,4.7,PROVEEDORES HOMOLOGADOS DE ECOPETROL ............................................................................................. 11,,2
section_header,4.8,REUNIONES DE INGENIERÍA Y VISITAS ................................................................................................................. 11,,2
section_header,4.9,ASISTENCIA EN SITIO .............................................................................................................................................. 11,,2
section_header,4.10,ENTRENAMIENTO ..................................................................................................................................................... 12,,2
section_header,4.11,REPUESTOS .............................................................................................................................................................. 12,,2
section_header,4.12,HERRAMIENTAS ESPECIALES ................................................................................................................................ 12,,2
section_header,4.13,DOCUMENTACIÓN .................................................................................................................................................... 13,,2
paragraph,4.13,DOCUMENTACIÓN .................................................................................................................................................... 13,5. REQUERIMIENTOS TÉCNICOS ....................................................................................................................................... 13,2
section_header,5.1,REQUERIMIENTOS MECÁNICOS ............................................................................................................................. 13,,2
section_header,5.2,REQUERIMIENTOS DE TUBERÍA ............................................................................................................................. 13,,2
section_header,5.3,REQUERIMIENTOS ELÉCTRICOS ........................................................................................................................... 14,,2
paragraph,5.3,REQUERIMIENTOS ELÉCTRICOS ........................................................................................................................... 14,EDP-F-046 – 20/11/2017 V-1 2/20,2
paragraph,,,"MAYORES
Versión: 1
EDP-F-046 20/11/2017
INGENIERÍA DETALLE ACONDICIONAMIENTO
MR #: FFM/F-MEQ-013 REV: 0
ESTRATEGICO CUPIAGUA
Documento:
Requisición de materiales
Especialidad Mecánica FECHA: 01-11-2023
Paquete de Inyección de
Químicos",3
section_header,5.4,REQUERIMIENTOS DE INSTRUMENTACIÓN Y CONTROL.................................................................................... 14,,3
section_header,5.5,REQUERIMIENTOS ESTRUCTURALES Y CIVILES ................................................................................................. 14,,3
section_header,5.6,OTROS REQUERIMIENTOS ...................................................................................................................................... 14,,3
section_header,5.7,EXTENSIÓN PRE-ENSAMBLE .................................................................................................................................. 14,,3
section_header,5.8,REQUERIMIENTOS DE PRE Y COMISIONAMIENTO .............................................................................................. 15,,3
paragraph,5.8,REQUERIMIENTOS DE PRE Y COMISIONAMIENTO .............................................................................................. 15,"6. PRESERVACIÓN, EMPAQUE, MARQUILLADO, IZAJE Y TRANSPORTE ..................................................................... 15
7. REQUERIMIENTOS DE QA E INSPECCIÓN .................................................................................................................... 15",3
section_header,7.1,SISTEMA DE ADMINISTRACIÓN DE LA CALIDAD (QMS)...................................................................................... 15,,3
section_header,7.2,NIVEL DE CRITICIDAD Y NIVEL DE INSPECCIÓN .................................................................................................. 16,,3
section_header,7.3,"PLAN DE INSPECCIÓN Y PRUEBAS (ITP), FIR....................................................................................................... 16",,3
paragraph,7.3,"PLAN DE INSPECCIÓN Y PRUEBAS (ITP), FIR....................................................................................................... 16","8. REQUERIMIENTOS EN SALUD, SEGURIDAD Y MEDIO AMBIENTE (HSE) .................................................................. 16
9. GARANTÍAS TÉCNICAS ................................................................................................................................................... 17
10. ANEXOS ............................................................................................................................................................................ 18",3
section_header,10.1,LISTA DEL ALCANCE ............................................................................................................................................... 18,,3
section_header,10.2,ESTÁNDARES DE REFERENCIA ............................................................................................................................. 19,,3
section_header,10.3,DOCUMENTOS DE REFERENCIA ............................................................................................................................ 20,,3
paragraph,10.3,DOCUMENTOS DE REFERENCIA ............................................................................................................................ 20,EDP-F-046 – 20/11/2017 V-1 3/20,3
paragraph,,,"MAYORES
Versión: 1
EDP-F-046 20/11/2017
INGENIERÍA DETALLE ACONDICIONAMIENTO
MR #: FFM/F-MEQ-013 REV: 0
ESTRATEGICO CUPIAGUA
Documento:
Requisición de materiales
Especialidad Mecánica FECHA: 01-11-2023
Paquete de Inyección de
Químicos
1. INTRODUCCIÓN",4
section_header,1.1,CONDICIONES GENERALES,,4
paragraph,1.1,CONDICIONES GENERALES,"Esta requisición de materiales establece las condiciones generales y específicas para el suministro de
un (1) PAQUETE de inyección de químicos para el proyecto INGENIERÍA DETALLADA
ACONDICIONAMIENTO ESTRATÉGICO CUPIAGUA” a ser instalados en el CPF Cupiagua – Ecopetrol.
El PAQUETE incluye la ingeniería de detalle, fabricación, armado y el suministro de todos los equipos y
accesorios (si se requiere algunos componentes pueden ser enviados por separado) y de las tuberías
de interconexión y el cableado eléctrico y de control dentro de los límites del PAQUETE.
El PAQUETE incluye todos los dispositivos, elementos y materiales necesarios y suficientes para que sea
funcional y opere adecuadamente bajo las condiciones indicadas en los documentos anexos que hacen
parte de este documento. El PAQUETE debe operar como un sistema totalmente ensamblado e integral
controlado.
El PAQUETE debe cumplir con reglamentos, códigos y normas vigentes en los acuerdos regionales,
nacionales e internacionales indicados en esta requisición y sus documentos anexos.
El PAQUETE y sus accesorios deben ser diseñados y construidos para una vida útil de veinte (20) años
y mínimo 3 años de operación continua con el mantenimiento adecuado.",4
section_header,1.2,GLOSARIO,,4
paragraph,1.2,GLOSARIO,"CLIENTE: Es la empresa propietaria del proyecto, ECOPETROL S.A, el cual generalmente especificará
los requerimientos técnicos. ECOPETROL también puede nombrar un agente o consultor autorizado
para actuar en su nombre.
PROVEEDOR: Es quien presenta oferta para suministrar los equipos y/o servicios, de acuerdo con esta
requisición de materiales y sus documentos asociados una vez sea adjudicado por ECOPETROL. Será
quien diseña, fabrica, suministra e integra el PAQUETE y todos sus componentes (listados en el capítulo
10.1) en conformidad al alcance de suministro contratado.
INSPECTOR: La parte que es asignada para la inspección del desarrollo del trabajo realizado por el
proveedor o vendedor. En algunos casos, el CLIENTE puede actuar como AUTORIDAD DE INSPECCION.
EDP-F-046 – 20/11/2017 V-1 4/20",4
paragraph,,,"MAYORES
Versión: 1
EDP-F-046 20/11/2017
INGENIERÍA DETALLE ACONDICIONAMIENTO
MR #: FFM/F-MEQ-013 REV: 0
ESTRATEGICO CUPIAGUA
Documento:
Requisición de materiales
Especialidad Mecánica FECHA: 01-11-2023
Paquete de Inyección de
Químicos
PAQUETE: Hace referencia al conjunto de equipos, instrumentos, controles, componentes eléctricos,
tuberías y todos los elementos requeridos para conformar un ensamble completo e integrado de
inyección de químicos que se describen en el alcance del suministro indicado en esta requisición de
materiales.
SITIO: Describe las condiciones de las instalaciones y áreas donde se ejecutará el proyecto, en este
caso es el CPF Cupiagua localizado en Aguazul, departamento de Casanare, Colombia.",5
section_header,1.3,ORDEN DE PREVALENCIA,,5
paragraph,1.3,ORDEN DE PREVALENCIA,"El proveedor deberá aplicar para la resolución de conflictos el siguiente orden de prevalencia, siendo la
mayor prevalencia el número 1:
1. Las leyes y reglamentos legales y gubernamentales locales
2. Códigos y estándares industriales
3. Hojas de datos y diagramas de tubería e instrumentación, última revisión.
4. Esta requisición de materiales, en su última revisión.
5. Especificación técnica
6. Orden de compra
En caso de conflicto entre los requerimientos de esta requisición y alguno de los documentos,
referenciados que forman parte de la requisición de materiales, el PROVEEDOR notificará
inmediatamente al ECOPETROL por escrito de los conflictos identificados para su resolución, los cuales
deben quedar resueltos en la reunión de lanzamiento (siglas en inglés KOM), cuando aplique.
2. ALCANCE DEL SUMINISTRO",5
section_header,2.1,ALCANCE GENERAL,,5
paragraph,2.1,ALCANCE GENERAL,"A continuación, se describe el listado general alcance de suministro objeto de esta requisición de
materiales. El listado particular de componentes se indica en la sección “10.1 lista del alcance”.
Ítem Cantidad Unidad TAG Descripción Código de Catálogo
ECOPETROL
1 UNO (1) UN M156CIP-5503 Paquete de Inyección de Químicos
EDP-F-046 – 20/11/2017 V-1 5/20",5
paragraph,,,"MAYORES
Versión: 1
EDP-F-046 20/11/2017
INGENIERÍA DETALLE ACONDICIONAMIENTO
MR #: FFM/F-MEQ-013 REV: 0
ESTRATEGICO CUPIAGUA
Documento:
Requisición de materiales
Especialidad Mecánica FECHA: 01-11-2023
Paquete de Inyección de
Químicos
El PROVEEDOR deberá suministrar El PAQUETE como una unidad completa y funcional incluyendo todos
los elementos necesarios para garantizar su segura y correcta instalación, arranque, puesta en marcha
y operación",6
section_header,2.2,EXCLUSIONES,,6
paragraph,2.2,EXCLUSIONES,"Se excluye del suministro de los equipos:
- Obras civiles, fundaciones e instalación de pernos de anclaje.
- Interconexiones de tubería, cableado e instrumentación fuera de los límites del PAQUETE.
- Trabajos de cableado eléctrico y de Instrumentación fuera del PAQUETE.
- Sistemas de iluminación exterior.",6
section_header,2.3,OPCIONES DEL SUMINISTRO,,6
paragraph,2.3,OPCIONES DEL SUMINISTRO,"N/A
3. RESPONSABILIDAD
Está dentro del alcance de suministro del PROVEEDOR del PAQUETE la planeación y programación del
diseño, fabricación de este, suministro de equipos, accesorios, recipientes, tableros de potencia y
control, instrumentación, partes y materiales, fabricación en taller, pruebas, inspección, pintura,
control y aseguramiento de calidad, entrega de documentación técnica y certificados,
embalaje/empaque, almacenamiento y preparación para envío a SITIO, soporte en sitio durante el
comisionamiento y arranque, garantías y demás, incluidos e indicados en esta requisición de materiales
y los documentos anexos.
4. REQUERIMIENTOS GENERALES",6
section_header,4.1,GENERAL,,6
paragraph,4.1,GENERAL,"Los requisitos generales y alcance del suministro se indican en la especificación técnica y hoja de datos
anexa a esta requisición de materiales (ver sección 10.3 documentos de referencia).",6
section_header,4.2,PROPUESTAS ALTERNATIVAS,,6
paragraph,4.2,PROPUESTAS ALTERNATIVAS,"El PROVEEDOR podrá presentar propuestas alternativas, siempre y cuando sean de igual o superior
calidad que la propuesta principal. No se aceptarán como válidas alternativas que reduzcan la
integridad mecánica o eléctrica y que no cumplan con el criterio de vida útil.
EDP-F-046 – 20/11/2017 V-1 6/20",6
