type,section_number,section_title,text,page
paragraph,,,"CLIENT
CONTRACTOR
PROJECT
Aprobado para construcción – Actualización según donde se
1 20-11-2023
indique
Brayan Quispe Miguel Salamanca Omar Villarreal
(BQS) (MSC) (OVG)
Brayan Quispe Miguel Salamanca Omar Villarreal
0 30-10-2023 Aprobado para construcción
(BQS) (MSC) (OVG)
Miguel Salamanca Omar Villarreal Omar Carrillo
A1 02-09-2022 Emitido para comentarios del cliente
(MSC) (OVM) (OCA)
Miguel Salamanca Omar Villarreal Omar Carrillo
P 03-05-2022 Emitido para comentarios internos
(MSC) (OVM) (OCA)
REV DATE DESCRIPTION Author Checked by Approved by
FOR PURCHASING
S FOR INFORMATION
U
T FOR CONSTRUCTION
A FOR APPROVAL/COMMENTS
T
S FOR DESIGN AS BUILT
DOCUMENT NUMBER DOCUMENT TITLE
FFM/F-S-ME-015 Especificación Técnica Paquete de Inyección de Químicos",1
paragraph,,,"PROJECT CONTRACTOR
Ingeniería Detalle Acondicionamiento
Estratégico Cupiagua
FFM/F-S-ME-015 20/11/2023
DOCUMENT TITLE Page i / i
Especificación Técnica Paquete de Inyección de Químicos
Rev. 1
Tabla de Ediciones
Edición Fecha Objeto de la Edición
P Mayo 2022 Edición inicial
A1 Agosto 2022 Emitido para cometarios del cliente
0 Octubre 2023 Aprobado para construcción
Noviembre
1 Actualización
2023",2
paragraph,,,"PROJECT CONTRACTOR
Ingeniería Detalle Acondicionamiento
Estratégico Cupiagua
FFM/F-S-ME-015 20/11/2023
DOCUMENT TITLE Page i / iv
Especificación Técnica Paquete de Inyección de Químicos
Rev. 1
Índice
1. Introducción ....................................................................................................................... 1",3
section_header,1.1,Objetivo ............................................................................................................................... 1,,3
section_header,1.2,Alcance ................................................................................................................................ 1,,3
paragraph,1.2,Alcance ................................................................................................................................ 1,2. Definiciones y abreviaturas ............................................................................................. 2,3
section_header,2.1,Definiciones ......................................................................................................................... 2,,3
section_header,2.2,Abreviaturas ........................................................................................................................ 2,,3
paragraph,2.2,Abreviaturas ........................................................................................................................ 2,3. Documentos de Referencia .............................................................................................. 4,3
section_header,3.1,Códigos y Estándares ......................................................................................................... 4,,3
