DESCRIPCIÓN,"CON LA
OFERTA","PRIMERA EMISIÓN DESPUES DE LA
ORDEN DE COMPRA",,,"EMISIÓN FINAL
(5)"
,,"FECHA
DE
EMISIÓN
(2)","PROPÓSITO
(3)","CANTIDAD
TIPO
(4)","CANTIDAD
TIPO
(4)"
"Procedimiento y especificación de pintura y
preparación de superficies",,+2Sem,IFR,E,E
"Procedimiento de embalaje, embarque y
almacenamiento",,+4Sem,IFR,E,E
Registros de trazabilidad de material,,+8Sem,IFR,E,E
Reportes de inspección,,-2 Sem,IFR,E,E
Certificado de resultados pruebas FAT,,-4Sem,IFR,E,E
Certificado de prueba hidrostática,,-4Sem,IFR,E,E
Certificados RETIE,,-4Sem,IFR,E,E
"Manuales de preservación, operación y
mantenimiento (En español)",,-2Sem,IFR,-,E
"Procedimiento de pre-comisionamiento /
comisionamiento",,-4Sem,IFR,E,E
"Índice del dossier final del PAQUETE (Vendor data
book index)",X,-4Sem,IFR,E,E
Dossier final del PAQUETE (Vendor data book (VDB)),,-2Sem,IFR,E,3+E
Dossier de fabricación y control de calidad (7),,-2Sem,IFR,E,E
Términos de entrega,X,-,IFR,E,E
Garantías,X,-,-,-,E
