doc_id,doc_type,file_name,_page,_table_idx,_row,table_uid,section_number_near,section_title_near,caption_near,table_order_in_page,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,1,1,1,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS)::p001::t01,,,,1,,"FORMATO REQUISICIÓN DE MATERIALES COMPRAS
MAYORES
Paquete de Inyección de Químicos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,1,1,2,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS)::p001::t01,,,,2,,"ECOPETROL DESARROLLO DE PROYECTO
VICEPRESIDENCIA DE INGENIERÍA Y PROYECTOS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,1,1,3,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS)::p001::t01,,,,3,,"CÓDIGO
EDP-F-046","Elaborado
20/11/2017",Versión: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,1,2,1,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS)::p001::t02,,,,4,MR #: FFM/F-MEQ-013,"INGENIERÍA DETALLE ACONDICIONAMIENTO
ESTRATEGICO CUPIAGUA",REV: 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,1,2,2,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS)::p001::t02,,,,5,"Documento:
Requisición de materiales
Paquete de Inyección de
Químicos",Especialidad Mecánica,FECHA: 01-11-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,1,3,1,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS)::p001::t03,,,,6,SECCIÓN,DESCRIPCIÓN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,1,3,2,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS)::p001::t03,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,1,3,3,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS)::p001::t03,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,1,4,1,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS)::p001::t04,,,,9,0,"EMITIDO PARA
COMPRA",,,,01-11-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,1,4,2,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS)::p001::t04,,,,10,,,OAH,MSC,OVM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,1,4,3,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS)::p001::t04,,,,11,A1,"EMITIDO PARA
COMENTARIOS DEL
CLIENTE",,,,13-09-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
